"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","123.0","1,599.7","12.4","4.1","23.9","0.1","0.6","236.2"
"Ja'Marr Chase","CIN","91.6","1,415.9","10.5","8.5","50.0","0.2","0.6","209.4"
"Justin Jefferson","MIN","103.0","1,500.8","9.5","3.1","16.0","0.0","0.6","207.9"
"Deebo Samuel","SF","70.5","1,050.9","6.1","66.3","377.0","4.7","0.7","206.3"
"Davante Adams","LV","106.4","1,322.1","9.2","0.0","0.0","0.0","0.5","186.6"
"Stefon Diggs","BUF","102.0","1,256.3","8.9","0.2","2.0","0.0","0.5","178.2"
"Mike Evans","TB","82.2","1,132.3","10.1","0.2","1.4","0.0","0.5","173.2"
"CeeDee Lamb","DAL","91.2","1,236.5","7.6","6.0","44.9","0.1","0.5","173.2"
"Tyreek Hill","MIA","92.3","1,153.1","8.1","8.8","62.2","0.3","0.5","170.9"
"Tee Higgins","CIN","85.3","1,193.9","7.8","0.2","0.8","0.0","0.5","165.5"
"A.J. Brown","PHI","77.6","1,134.3","8.1","0.8","7.6","0.0","0.5","161.8"
"Mike Williams","LAC","74.6","1,098.0","7.9","0.0","0.2","0.0","0.4","156.7"
"Michael Pittman Jr.","IND","91.5","1,132.4","6.7","3.7","28.9","0.0","0.6","155.7"
"DJ Moore","CAR","86.9","1,146.4","5.7","5.6","37.8","0.1","0.6","151.8"
"Keenan Allen","LAC","99.8","1,089.5","6.9","0.4","1.8","0.0","0.5","149.6"
"Gabriel Davis","BUF","61.5","960.4","8.8","0.0","0.0","0.0","0.1","148.5"
"Brandin Cooks","HOU","92.3","1,105.2","6.1","2.6","18.6","0.1","0.5","148.4"
"DK Metcalf","SEA","78.4","1,056.3","6.9","0.4","2.2","0.0","0.6","146.0"
"Diontae Johnson","PIT","94.9","1,046.9","6.1","4.2","31.6","0.1","1.0","142.7"
"Terry McLaurin","WAS","78.5","1,071.2","5.9","0.4","4.6","0.0","0.4","141.9"
"Courtland Sutton","DEN","70.8","1,004.7","6.8","0.2","0.6","0.0","0.5","140.5"
"Jaylen Waddle","MIA","89.0","994.4","6.1","3.3","19.2","0.3","0.6","139.0"
"Amon-Ra St. Brown","DET","87.6","956.6","6.0","6.6","46.7","0.4","0.5","137.6"
"Michael Thomas","NO","85.4","994.2","6.5","0.2","-0.8","0.0","0.5","137.5"
"Jerry Jeudy","DEN","75.4","1,025.1","5.8","1.2","5.4","0.0","0.6","137.1"
"Darnell Mooney","CHI","78.3","1,035.6","4.9","5.0","26.2","0.2","0.5","135.9"
"Elijah Moore","NYJ","70.5","912.6","6.0","6.2","50.8","0.5","0.5","134.4"
"Tyler Lockett","SEA","73.4","986.1","5.6","2.1","11.9","0.1","0.5","132.7"
"Chris Godwin","TB","80.3","931.6","6.3","2.2","12.0","0.3","0.9","132.0"
"Marquise Brown","ARI","75.8","969.8","5.7","2.0","12.9","0.1","0.6","131.9"
"Adam Thielen","MIN","73.9","838.2","7.8","0.4","1.2","0.0","0.5","129.8"
"Robert Woods","TEN","74.0","883.3","5.1","8.9","61.2","0.7","0.5","128.0"
"Amari Cooper","CLE","75.3","944.6","5.7","0.2","0.6","0.0","0.5","127.7"
"JuJu Smith-Schuster","KC","78.6","854.1","6.5","2.3","11.5","0.5","0.5","127.4"
"Allen Robinson II","LAR","75.6","917.1","6.0","0.0","0.0","0.0","0.5","126.9"
"Hunter Renfrow","LV","82.9","884.7","6.3","1.2","5.0","0.0","0.7","125.8"
"Rashod Bateman","BAL","74.0","937.6","5.2","0.2","2.2","0.0","0.5","124.4"
"DeVonta Smith","PHI","62.8","863.0","5.6","0.0","0.0","0.0","0.5","118.9"
"Allen Lazard","GB","57.7","779.0","6.7","1.4","12.2","0.0","0.4","118.6"
"Brandon Aiyuk","SF","62.1","843.4","5.5","2.9","17.5","0.0","0.5","118.3"
"Chase Claypool","PIT","63.8","853.3","4.6","8.6","52.3","0.2","0.5","118.2"
"Christian Kirk","JAC","72.5","887.3","4.6","0.8","5.8","0.0","0.5","116.2"
"Drake London","ATL","65.5","863.8","4.7","0.8","4.2","0.0","0.8","113.5"
"Marquez Valdes-Scantling","KC","47.2","771.9","5.1","0.6","3.2","0.0","0.1","107.8"
"Kadarius Toney","NYG","66.3","769.2","4.2","8.8","59.6","0.1","0.5","107.5"
"Mecole Hardman","KC","57.7","725.8","4.6","8.4","58.9","0.4","1.0","106.5"
